AverageFactor	Abramis brama	Alburnoides bipunctatus	Alburnus alburnus 	Anguilla anguilla	Aspius aspius	Ballerus sapa 	Barbatula barbatula	Barbus barbus	Blicca bjoerkna	Carassius carassius	Carassius gibelio	Chalcalburnus chalcoides mento	Chondrostoma nasus	Cottus gobio	Cyprinus carpio	Esox  lucius	Eudontomyzon vladykovi	Gasterosteus aculeatus	Gobio gobio	Gymnocephalus baloni	Gymnocephalus cernua	Gymnocephalus schraetser	Hucho hucho	Ictalurus spp   ? 10  	Lampetra planeri	Lepomis gibbosus  ? 20  	Leucaspius delineatus  ? 10  	Leuciscus idus	Leuciscus leuciscus	Lota lota	Misgurnus fossilis	Neogobius melanostomus	Oncorhynchus mykiss	Perca fluviatilis	Phoxinus phoxinus	Ponticola kessleri	Proterorhinus semilunaris	Pseudorasbora parva 	Rhodeus amarus	Romanogobio uranoscopus	Romanogobio vladykovi	Rutilus rutilus	Rutilus virgo	Salmo trutta  lacustris	Salmo trutta fario	Salvelinus fontinalis	Sander lucioperca	Scardinius erythrophthalmus	Silurus glanis	Squalius cephalus	Telestes souffia	Thymallus thymallus	Tinca tinca	Vimba vimba	Zingel streber	Zingel zingel
Aiterach.103273	0	0	2	0,571428571	0	0	11,14285714	1,428571429	0	0,285714286	0,285714286	0	1,142857143	1,142857143	0	0	0	0	38,28571429	0	0	0	0	0	0	0	0	0	50,57142857	0	0	0	0	0,571428572	0	0	0	0,285714286	0	0	0	1,142857143	0	0	0,285714286	0	0	0	0	20	0	0	0	0	0	0
Aiterach.103273	0	0	0,571428571	0	0	0	30,57142857	4	0	0	0	0	0	0	0	0	0	0,285714286	25,14285714	0	0	0	0	0	0	0	0	0	0,857142857	0,571428571	0	0	5,714285715	0	0	0	0	0	0	0	0	0,571428571	0	0	0,571428571	0	0	0	0	13,71428571	0	0	0	0	0	0
Aiterach.103273	0	0	0,285714286	0	0	0	26,28571429	3,428571428	0	0	0	0	0	0	0	0	0	0	31,14285714	0	0	0	0	0	0	0	0	0	20,85714285	0,285714286	0	0	1,428571429	0	0	0	0	1,142857143	0	0	0	0,857142857	0	0	1,142857143	0	0	0	0	12,57142857	0	0	0	0	0	0
Aldersbach.11698	0,285714286	3,142857143	0	0	0	0	0,285714286	0	0	0	0	0	10	10	0	0	0	0,571428571	33,71428571	0	0	0	0	0	0	0	0	0	2,857142857	0	0	0	0,571428571	0	0	0	0	0	2,285714286	0	0	10,28571429	0	0	0,571428571	0	0	0	0	27,71428571	0	0	0	0	0	0
Alster.15753	0	2	0	0	0	0	54,5	0	0	0	0	0	0	0	0	0	0	2	19,5	0	0	0	0	0	0	0	0	0	21,5	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	4	0	0	0	0	8,5	0	0	0	0	0	0
Alster.15753	0	2,5	0	0	0	0	57,5	0,5	0	0	0	0	0	0	0	2,5	0	0	16	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,5	0	0	0	0	7,5	0	0	0	0	0	0
Alster.15753	0	0	0	0	0	0	196,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,5	0	0	0	0	1	0	0	0	0	0	0
Alster.15753	0	3	0	0	0	0	131,5	2,5	0	0	0	0	0	0	0	2	0	0	63,5	0	0	0	0	0	0	0	0	0	25,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0,5	0	0	0
Altmühl.4174	2,800000001	0	0,933333333	7,533333334	0,466666667	0	0,266666667	0,6	0	0,333333333	0,333333333	0	0,266666667	0,266666667	0,2	0,266666667	0	0,333333333	6,133333333	0	0	0	0	0	0	0	0	0	17,86666667	0	0	0	0	3,2	0	0	0,2	0	0,333333333	0	0	7,333333333	0	0	0	0	0	0	0	3,266666667	0	0	0,200000001	0	0	0
Altmühl.4174	0,666666667	0	4,8	7	0	0	0	1	0	0	0	0	0,466666667	0,466666667	0,333333333	1,333333334	0	0,066666667	4,266666667	0	0	0	0	0	0	0	0	0	2,133333333	0	0	0	0	2,8	0	0	0,2	0	0,066666667	0	0	0,533333334	0	0	0	0	0	0,133333334	0,066666667	6,6	0	0	0,066666667	0	0	0
Altmühl.4174	3,799999999	0	26,86666667	16,53333334	0,2	0	0,066666667	0,866666667	0,066666667	0,8	0,8	0	0,4	0,4	2,266666666	1	0	0	2,866666666	0	0	0	0	0	0	0	0	0	4,6	0	0	0	0	3,6	0	0	0,333333333	0,066666667	0	0	0	41,26666666	0	0	0	0	0,066666667	0,133333334	0,066666667	3,133333333	0	0	0,266666666	0	0	0
Altmühl.4174	7,7	0	20,2	10,5	0	0	0	1,6	0,6	0	0	0	0,2	0,2	0	1,3	0	0	41,3	0	0	0	0	0	0	0	0	0	8,7	0	0	0	0	4,6	0	0	2,6	0	2,1	0	0	71,1	0	0	0	0	0,1	0,8	0,3	5,1	0	0	0,3	2,9	0	0
Altmühl.4174	1,419354839	0	0,387096774	6,451612903	0,129032258	0	0,258064516	0,129032258	0	0	0	0	3,612903225	3,612903225	0,129032258	1,419354838	0	1,548387097	68,77419355	0	0	0	0	0	0	0	0	0	3,35483871	0,129032258	0	0	0	2,322580645	0	0	14,83870968	0	4,258064516	0	0	12,38709677	0	0	0,129032258	0	0	0	0	9,161290323	0	0	0,774193548	0	0	0
Alz.12438	0	0	104	2,6	0	0	0	0,1	0	0	0	0	0,1	0,1	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	8,1	0,1	0	0	0	2,5	0	0	0	0	0	0	0	2,2	0	0	0	0	0	0	0,4	2,9	0	0	0	0	0	0
Alz.12438	0	30,48	3,76	2,64	0	0	0	1,44	0	0	0	0	0	0	0,08	2,48	0	0	3,28	0	0	0	0	0	0	0	0	0	4,8	0	0	0	0	2,08	0	0	0	0	0	0	0	0,4	0	0	0	0	0,16	0	1,28	7,28	0	0	0,08	0	0	0
Alz.12438	0	0,06122449	4,775510204	1,285714286	0	0	0	1,714285714	0	0	0	0	0	0	0,12244898	0,673469388	0	0	3,612244898	0	0	0	0	0	0	0	0	0	0,244897959	0	0	0	0	0,918367347	0	0	0	0	0	0	0	10,59183673	0	0	0,06122449	0	0,06122449	0	0,734693878	0,857142857	0	0	0,12244898	0	0	0
Alz.12581	0	110,7333333	0	0,2	0	0	4,133333333	15,86666667	0	0	0	0	9,533333333	9,533333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,066666667	0	0	0,133333333	0	59	0	0	0	0	0	0	0	0	0	1,2	0	0	0	0,133333334	19,66666667	0	3	0	0	0	0
Alz.12581	0	68,53333333	0	0,8	0	0	46,46666667	13,2	0	0	0	0	4,2	4,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,400000001	0	19,26666667	0	0	0	0	0	0	0	0	0	3,2	0	0	0	0,133333334	7,866666667	0	1	0	0	0	0
Alz.12581	0	122,6666667	0	0,666666667	0	0	55,46666667	24,46666667	0	0	0	0	4,733333334	4,733333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,066666667	0	121,2	0	0	0	0	0	0	0	0	0	5,066666667	0	0	0	0,2	30,13333333	0	2	0	0	0	0
Alz.12581	0	109,9678457	0,160771704	0,803858521	0	0	6,752411576	113,8263666	0	0	0	0	15,2733119	15,2733119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,482315112	0	0	0	0,160771704	0	126,2057878	0	0	0	0	0	0	0	0	0	5,305466239	0	0	0	0	9,003215434	0	9	0	0	0	0
Alz.12581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alz.12581	0	0	0	0,095238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,571428572	0	0	0	0	30,95238095	0	7	0	0	0	0
Alz.12581	0	14,1	0	0,1	0	0	19,2	21,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0	78,3	0	0	0	0	0	0	0	0	0	5,8	0	0	0	0	15,3	0	5	0	0	0	0
Alz.12581	0	6,56	0	0,48	0	0	24,16	68,64	0	0	0	0	1,6	1,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,32	0	295,36	0	0	0	0	0	0	0	0	0	12,64	0	0	0	0	4,64	0	12	0	0	0	0
Ammer.32613	0	0	0	0	0	0	0	0,688705234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,234159779	0	0	0	0	0	0	0	0	0	0	0	7,024793389	0	0	0	0	0,137741047	0	4	0	0	0	0
Ammer.32613	0,2	2,4	0	8	0	0	0,6	1,6	0	0	0	0	0,2	0,2	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	5	3,8	0	0	0	0	0	0	0	0	0	0	1,4	0,2	0	0,2	0,8	0	0	0	0	2	0	3	0	0	0	0
Ammer.32613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,285714286	0	0	0	0	0	0	0	0	0	0	0	17,25274725	0	0	0	0	0	0	0,659340659	0	0	0	0
Ammerbach.7846	0	0	0	0	0	0	5,172413793	0	0	0	0	0	0	0	0	1,379310345	0	0,689655172	6,551724138	0	0	0	0	0	0	0	0	0	4,482758621	0	0	0	0	0,344827586	0	0	0	0	0	0	0	0	0	0	1,034482758	0	0	0	0	4,137931034	0	0	0	0	0	0
Ammerbach.7846	0	0	0	0	0	0	6,206896552	0	0	0	0	0	0	0	0	1,379310345	0	0	23,10344828	0	0	0	0	0	0	0	0	0	15,51724138	0	0	0	0	0,689655172	0	0	0	1,724137931	0	0	0	0	0	0	1,379310345	0	0	0	0	16,55172414	0	0	0	0	0	0
Amper.96010	0	0,1	1,9	5,2	0	0	0	0,2	0,2	0	0	0	0	0	0	3,8	0	0	0,4	0	0,1	0	0	0	0	0	0	0	0	0	0	0	0	6,8	0	0	0	0	0,9	0	0	26,9	0	0	0	0	0	0	0,3	1,2	0	0	0,7	0	0	0
Amper.96010	0,2	2,1	6,7	3,2	0	0	0	0,9	0	0	0	0	0	0	0,1	1	0	0	4,7	0	0,2	0	0	0	0	0	0	0	4,4	0	0	0	0	3,8	0	0	0	0	0,8	0	0	31,5	0	0	0	0	0	0	0,1	4,1	0	0	0,4	0	0	0
Amper.96010	0,64	1,92	1,12	2,56	0	0	0	0,64	0,08	0	0	0	0	0	0,24	0,56	0	0	0,64	0	0,24	0	0	0	0	0	0	0,32	3,52	0	0	0	0	1,52	0	0	0	0	0,16	0	0	12,88	0	0	0	0	0	0	0,24	5,28	0	0	0,16	0	0	0
Amper.96010	0,1	21,5	0,1	6,7	0	0	0	4,2	0	0	0	0	2,2	2,2	0,4	0,8	0	0	3	0	0	0	0	0	0	0	0	0,1	18,4	0	0	0	0	20,7	0	0	0	0	0,3	0	0	14,7	0	0	0,2	0	0,1	0	0,6	14,8	0	0	0,1	0	0	0
Amper.105540	0,8	28	0	14,8	0	0	0	1,466666666	0	0	0	0	0	0	0,8	0,533333333	0	0,133333333	1,999999999	0	0	0	0	0	0	0	0	0	0,533333333	2,533333333	0	0	0,4	1,733333334	0	0	0	0	0	0	0	2,133333333	0	0	0,533333334	0	0	0,133333333	0,533333333	2,933333333	0	0	0	0	0	0
Amper.105540	1,333333333	4,266666667	1,733333333	54,8	0	0	0	4,133333333	0	0	0	0	0	0	1,466666667	0,8	0	0	0,933333333	0	0,266666667	0	0	0	0	0	0	0,4	2,533333333	3,466666667	0	0	0	20,26666667	0	0	0	0,133333333	0,266666667	0	0	24	0	0	0,533333333	0	0	0	1,466666667	26,26666667	0	0	0,133333333	0	0	0
Anhauser Bach.103324	0	0	0	2,5	0	0	1,5	0	0	0	0	0	0,5	0,5	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17,5	0	0	0	5,5	0,5	0	0	176	0	0	1,5	0	0	0	0	0	0	0	5,5	0	0	0
Anhauser Bach.103324	0	0	0	0	0	0	5,5	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	4	0	0	0	242	2	0	0	168	0	0	1	0	0	0	0	0	0	0	13,5	0	0	0
Anhauser Bach.103324	0	0	0,5	7,5	0	0	3,5	0	0	0	0	0	2,5	2,5	2	0,5	0	0	3,5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	275	0	0	0	75,5	0	0	0,5	0	0,5	5	0	0	0	0	7,5	0	0	0
Anhauser Bach.103324	0	0	0	2,5	0	0	0	0	0	0	0	0	0,5	0,5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1,5	0	0	0	0	0	0	0	34,5	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0
Ascha.105647	0	105,5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0,5	0	0	0	0	0	0	0	20	0	0	0	0	0,5	0	0	0	0	0	0	0	1	0	0	1,5	0	0	0	0	26,5	0	0	0	0	0	0
Ascha.105647	0	14,28571428	0,285714286	0	0	0	6,571428571	0	0	0	0	0	0,285714286	0,285714286	0	0,285714286	0	0	0,285714286	0	0	0	0	0	0	0	0	0	8,285714285	0	0	0	0	2,571428572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,142857143	0	0	0	0	0	0
Ascha.105647	0	32,5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,5	0	0	0	0	0,5	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	21,5	0	0	0	0	0	0
Aschaff.31099	0	0	0	0,5	0	0	96,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,5	0	0	102,5	0	0	0	0	0	0	0	0	0	0	0
Aschaff.31099	0	0	0	0	0	0	109,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,5	0	0	87	0	0	0	0	0	0	0	0	0	0	0
Aspengraben.103284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Attel.12126	0	29	0	0	0	0	15,25	3,5	0	0	0	0	5	5	0	0	0	0	2,5	0	0	0	0	0	0	0	0	0	1,5	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0,75	0	0	0	0	6,75	0	0	0	0	0	0
Attel.12126	0	33,75	0	0,5	0	0	1,25	2,5	0	0	0	0	4,25	4,25	0	0	0	0	4,5	0	0	0	0	0	0	0	0	0	0,75	0,5	0	0	0,25	0	0	0	0	0	0,25	0	0	0,25	0	0	0,5	0	0	0	0	6,75	0	6	0	0	0	0
Attel.105688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	1	0	0	66,5	0	0	0	0	0	0	2	0	0	0	0
Attel.105688	0	0	0	0	0	0	0	0	0	0,5	0,5	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70,5	0	0	0	0	0,5	0	2	0	0	0	0
Aubach.21358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
Aubach.21358	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	2,5	0	0	0	0	0	0
Aubach.21358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30,5	0	0	0	0	0	0	1	0	0	0	0
Aubach.21358	0	0	0	0,454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47,27272727	0	0	0	0	0	0	0	0,454545455	0	0	0	0	0	0	0	0	0	0	0	56,81818182	0	0	0	0	0	0	5	0	0	0	0
Aubach.96967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44,5	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aubach.96967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24,5	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,5	0	0	0	0	0	0
Auerbach.96810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,454545455	0	0	8,636363637	0	0	0	0	1,363636365	0	0	0	0	0	0
Auerbach.96810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0,333333333	0	0	0	0	0	0	0	1	0	0	18,66666667	0	0	0	0	0	0	0	0	0	0	0
Auerbach.105890	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	7,5	0	0	0	0	10,5	0	0	0	0	0	0
Aufseß.18165	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29,2	0	0	0	0	0	0	0	0	0	0	0
Aufseß.18165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,88888889	6,444444444	0	0	0	0	0	0	0	0	0	0
Augraben.102846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Augraben.102846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aura.21245	0	0	0	1	0	0	0,5	0	0	0	0	0	0	0	0	0	0	1,5	0	0	0	0	0	0	35	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
Aura.21245	0	0	0	1,5	0	0	0,5	0	0	0	0	0	0	0	0	0	0	1,5	0	0	0	0	0	0	60	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	56,5	0	0	0	0	0	0	2	0	0	0	0
Bahra.20753	2,5	0	0	0,5	0	0	219,5	0	0	0	0	0	0	0	0	0	0	0	20,5	0	0	0	0	0	0	0	0	0	2,5	0	0	0	0	2,5	170	0	0	0	0	0	0	20	0	0	7,5	0	0	0	0	36,5	0	0	0	0	0	0
Bahra.20753	0	0	0	1	0	0	184	0	0	0	0	0	0	0	0	0	0	0	52,5	0	0	0	0	0	0	0	0	0	10,5	0	0	0	0	0,5	199	0	0	0	0	0	0	19	0	0	5,5	0	0	0	0	43,5	0	0	0	0	0	0
Bahra.20753	0	0	0	0,5	0	0	125	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	65	0	0	0	0	0	0	3	0	0	2,5	0	0	0	0	17	0	0	0	0	0	0
Baunach.15866	0	58,8	0	2,8	0	0	1,6	0,8	0,8	0	0	0	0	0	0	0	0	0	54,4	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	6,8	0	0	2,4	0	0,4	0	0	5,6	0	0	0	0	0	0
Baunach.15866	0	88	0	0,4	0	0	28,8	0,4	0	0	0	0	0	0	0	0,4	0	2	118	0	0	0	0	0	0	0	0	0	27,2	0	0	0	0	2	0	0	0	0	0	0	0	0,8	0	0	2	0	0	0,4	0	9,2	0	0	0	0	0	0
Baunach.15912	0,5	0	51,5	20,5	0	0	0	0	0	0,5	0,5	0	0	0	0	2,5	0	0	20	0	0	0	0	0	0	0	0	0	21	0	0	0	0	6	0	0	0	9,5	0	0	0	25	0	0	0	0	0	0,5	0	11,5	0	0	0	0	0	0
Baunach.15912	0	56,66666666	52,66666667	4,666666667	0	0	0	1	0	0	0	0	0	0	0	0,333333333	0	0	12,66666667	0	0	0	0	0	0	0	0	0	1,666666666	0	0	0	0	0,333333333	0	0	0	0,333333333	0	0	0	6,333333333	0	0	0	0	0	0	0	4,333333333	0	0	0	0	0	0
Baunach.15912	0	42,33333334	41	2	0	0	0,333333333	0,999999999	0	0	0	0	0	0	0	0,333333333	0	1,666666666	31,33333333	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2,666666667	0	0	0	3	0	0	0	12,66666667	0	0	0,666666666	0	0	0,666666666	0	5	0	0	0	0	0	0
Bautenbach.103368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48,5	0	0	0	0	0	0	0	0	0	0	0
Bayerische Schwarzach.129833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40,4	0	0	0	0	0	0	0	0	0	0	0
Berchtesgadener Ache.96548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,000000001	0	0	0	0	0	0	0	0	0	0	0	21,71428571	0	0	0	0	0	0	0	0	0	0	0
Berchtesgadener Ache.96548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,8	0	0	0	0	0	0	0	0	0	0	0	58,8	0	0	0	0	0	0	0	0	0	0	0
Berchtesgadener Ache.96548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0
